tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
AT-01,大分類,,規制・法律,規制当局・政府による法令・規則・行政上の決定を報じる記事種別,法案、法律、規則、行政処分、判決等、公的な意思決定プロセスが中心の記事の場合
AT-01-01,小分類,AT-01,法案,規制・法律のうち法案に該当する記事,記事の主要な性質が法案である場合
AT-01-02,小分類,AT-01,法律,規制・法律のうち法律に該当する記事,記事の主要な性質が法律である場合
AT-01-03,小分類,AT-01,政令,規制・法律のうち政令に該当する記事,記事の主要な性質が政令である場合
AT-01-04,小分類,AT-01,省令,規制・法律のうち省令に該当する記事,記事の主要な性質が省令である場合
AT-01-05,小分類,AT-01,規則,規制・法律のうち規則に該当する記事,記事の主要な性質が規則である場合
AT-01-06,小分類,AT-01,施行規則,規制・法律のうち施行規則に該当する記事,記事の主要な性質が施行規則である場合
AT-01-07,小分類,AT-01,実施細則,規制・法律のうち実施細則に該当する記事,記事の主要な性質が実施細則である場合
AT-01-08,小分類,AT-01,ガイダンス,規制・法律のうちガイダンスに該当する記事,記事の主要な性質がガイダンスである場合
AT-01-09,小分類,AT-01,政策方針,規制・法律のうち政策方針に該当する記事,記事の主要な性質が政策方針である場合
AT-01-10,小分類,AT-01,パブリックコメント,規制・法律のうちパブリックコメントに該当する記事,記事の主要な性質がパブリックコメントである場合
AT-01-11,小分類,AT-01,規制案,規制・法律のうち規制案に該当する記事,記事の主要な性質が規制案である場合
AT-01-12,小分類,AT-01,規制改定,規制・法律のうち規制改定に該当する記事,記事の主要な性質が規制改定である場合
AT-01-13,小分類,AT-01,施行開始,規制・法律のうち施行開始に該当する記事,記事の主要な性質が施行開始である場合
AT-01-14,小分類,AT-01,適用延期,規制・法律のうち適用延期に該当する記事,記事の主要な性質が適用延期である場合
AT-01-15,小分類,AT-01,行政処分,規制・法律のうち行政処分に該当する記事,記事の主要な性質が行政処分である場合
AT-01-16,小分類,AT-01,監督・調査,規制・法律のうち監督・調査に該当する記事,記事の主要な性質が監督・調査である場合
AT-01-17,小分類,AT-01,判決,規制・法律のうち判決に該当する記事,記事の主要な性質が判決である場合
AT-01-18,小分類,AT-01,訴訟,規制・法律のうち訴訟に該当する記事,記事の主要な性質が訴訟である場合
AT-01-19,小分類,AT-01,和解,規制・法律のうち和解に該当する記事,記事の主要な性質が和解である場合
AT-02,大分類,,企業活動,企業自身の意思決定・活動を報じる記事種別,目標設定、投資、製品・サービス、提携、組織変更等、企業の活動が中心の記事の場合
AT-02-01,小分類,AT-02,目標設定,企業活動のうち目標設定に該当する記事,記事の主要な性質が目標設定である場合
AT-02-02,小分類,AT-02,目標改定,企業活動のうち目標改定に該当する記事,記事の主要な性質が目標改定である場合
AT-02-03,小分類,AT-02,目標撤回,企業活動のうち目標撤回に該当する記事,記事の主要な性質が目標撤回である場合
AT-02-04,小分類,AT-02,KPI更新,企業活動のうちKPI更新に該当する記事,記事の主要な性質がKPI更新である場合
