tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
SJ-01,大分類,,競合企業,競合企業の動向,当該企業が目標設定、投資、改訂、対応等を行った場合
SJ-01-01,小分類,SJ-01,AB InBev,具体的な主体の一つ（AB InBev）,AB InBevの動向・決定・発表が記事の主要論点である場合
SJ-01-02,小分類,SJ-01,Heineken,具体的な主体の一つ（Heineken）,Heinekenの動向・決定・発表が記事の主要論点である場合
SJ-01-03,小分類,SJ-01,Carlsberg,具体的な主体の一つ（Carlsberg）,Carlsbergの動向・決定・発表が記事の主要論点である場合
SJ-01-04,小分類,SJ-01,Molson Coors,具体的な主体の一つ（Molson Coors）,Molson Coorsの動向・決定・発表が記事の主要論点である場合
SJ-01-05,小分類,SJ-01,Sapporo Holdings,具体的な主体の一つ（Sapporo Holdings）,Sapporo Holdingsの動向・決定・発表が記事の主要論点である場合
SJ-01-06,小分類,SJ-01,Diageo,具体的な主体の一つ（Diageo）,Diageoの動向・決定・発表が記事の主要論点である場合
SJ-01-07,小分類,SJ-01,Pernod Ricard,具体的な主体の一つ（Pernod Ricard）,Pernod Ricardの動向・決定・発表が記事の主要論点である場合
SJ-01-08,小分類,SJ-01,Brown-Forman,具体的な主体の一つ（Brown-Forman）,Brown-Formanの動向・決定・発表が記事の主要論点である場合
SJ-01-09,小分類,SJ-01,Bacardi,具体的な主体の一つ（Bacardi）,Bacardiの動向・決定・発表が記事の主要論点である場合
SJ-01-10,小分類,SJ-01,The Coca-Cola Company,具体的な主体の一つ（The Coca-Cola Company）,The Coca-Cola Companyの動向・決定・発表が記事の主要論点である場合
SJ-01-11,小分類,SJ-01,PepsiCo,具体的な主体の一つ（PepsiCo）,PepsiCoの動向・決定・発表が記事の主要論点である場合
SJ-01-12,小分類,SJ-01,Keurig Dr Pepper,具体的な主体の一つ（Keurig Dr Pepper）,Keurig Dr Pepperの動向・決定・発表が記事の主要論点である場合
