tag_id,tag_level,parent_tag_id,tag_name,tag_meaning,tag_criteria
RG-01,大分類,,グローバル,世界共通・複数地域への影響,国際基準、グローバル企業方針、世界的な動向の場合
RG-02,大分類,,超国家・経済圏,複数国から成る経済圏・国家連合単位の適用・影響,EU、ASEAN等の超国家・地域経済圏の法令・政策・市場を対象とする場合
RG-02-01,小分類,RG-02,EU,超国家・経済圏の一つ（EU）,EUに適用・影響する規制・施策・動向を扱う場合
RG-02-02,小分類,RG-02,EEA,超国家・経済圏の一つ（EEA）,EEAに適用・影響する規制・施策・動向を扱う場合
RG-02-03,小分類,RG-02,ASEAN,超国家・経済圏の一つ（ASEAN）,ASEANに適用・影響する規制・施策・動向を扱う場合
RG-02-04,小分類,RG-02,APEC,超国家・経済圏の一つ（APEC）,APECに適用・影響する規制・施策・動向を扱う場合
RG-02-05,小分類,RG-02,G7,超国家・経済圏の一つ（G7）,G7に適用・影響する規制・施策・動向を扱う場合
RG-02-06,小分類,RG-02,G20,超国家・経済圏の一つ（G20）,G20に適用・影響する規制・施策・動向を扱う場合
RG-03,大分類,,地域圏,複数国をまとめた地域単位の動き,特定の地域ブロックに共通する規制・施策・動向を扱う場合
RG-03-01,小分類,RG-03,北米,地域圏の一つ（北米）,北米に適用・影響する規制・施策・動向を扱う場合
RG-03-02,小分類,RG-03,中南米,地域圏の一つ（中南米）,中南米に適用・影響する規制・施策・動向を扱う場合
RG-03-03,小分類,RG-03,欧州,地域圏の一つ（欧州）,欧州に適用・影響する規制・施策・動向を扱う場合
RG-03-04,小分類,RG-03,中東,地域圏の一つ（中東）,中東に適用・影響する規制・施策・動向を扱う場合
RG-03-05,小分類,RG-03,アフリカ,地域圏の一つ（アフリカ）,アフリカに適用・影響する規制・施策・動向を扱う場合
RG-03-06,小分類,RG-03,APAC,地域圏の一つ（APAC）,APACに適用・影響する規制・施策・動向を扱う場合
RG-03-07,小分類,RG-03,東アジア,地域圏の一つ（東アジア）,東アジアに適用・影響する規制・施策・動向を扱う場合
RG-03-08,小分類,RG-03,東南アジア,地域圏の一つ（東南アジア）,東南アジアに適用・影響する規制・施策・動向を扱う場合
RG-03-09,小分類,RG-03,南アジア,地域圏の一つ（南アジア）,南アジアに適用・影響する規制・施策・動向を扱う場合
RG-03-10,小分類,RG-03,オセアニア,地域圏の一つ（オセアニア）,オセアニアに適用・影響する規制・施策・動向を扱う場合
RG-04,大分類,,国,特定国への適用・影響,特定の一国に対する規制・施策・影響を扱う場合
RG-04-01,小分類,RG-04,日本,国の一つ（日本）,日本に適用・影響する規制・施策・動向を扱う場合
RG-04-02,小分類,RG-04,米国,国の一つ（米国）,米国に適用・影響する規制・施策・動向を扱う場合
